name	logFC	P.Value	t
MRPL17	3.235	1	22.3793
AMBRA1	2.912	1	20.1448
MT-CO3	2.83	1	19.5775
ZNF7	2.781	1	19.2386
CHAF1B	2.758	1	19.0794
DTX2	2.652	1	18.3461
REPIN1	2.542	1	17.5852
TARBP1	2.51	1	17.3638
EBP	2.458	1	17.0041
ZNF235	2.355	1	16.2915
TAB2	2.348	1	16.2431
ZNF16	2.233	1	15.4476
ZNF167	2.147	1	14.8526
ZNF860	2.147	1	14.8526
RBM10	2.112	1	14.6105
ZNF223	2.087	1	14.4376
WFS1	2.052	1	14.1954
FOXP2	2.031	1	14.0502
CMTM4	2.02	1	13.9741
EWSR1	2.004	1	13.8634
C1ORF77	1.999	1	13.8288
MLL	1.953	1	13.5106
GATAD2B	1.941	1	13.4276
PEX16	1.883	1	13.0263
NTHL1	1.857	1	12.8465
MYST4	1.855	1	12.8326
ZNF229	1.834	1	12.6873
TMED3	1.818	1	12.5767
MT-ATP6	1.759	1	12.1685
SCD5	1.751	1	12.1132
GTSE1	1.748	1	12.0924
CTH	1.731	1	11.9748
CYBA	1.698	1	11.7465
TRIP6	1.684	1	11.6497
ZNF234	1.644	1	11.373
ZNF660	1.644	1	11.373
STX12	1.634	1	11.3038
ZNF420	1.632	1	11.2899
FLG2	1.588	1	10.9856
THRAP3	1.581	1	10.9371
ZNF571	1.561	1	10.7988
ZNF624	1.514	1	10.4736
ZNF286A	1.514	1	10.4736
PTGES3	1.506	1	10.4183
ATXN2	1.495	1	10.3422
KRT10	1.442	1	9.97555
PRKD1	1.44	1	9.96171
RPS23	1.429	1	9.88561
ZNF35	1.425	1	9.85794
RDH14	1.423	1	9.84411
MUTYH	1.396	1	9.65732
SLTM	1.356	1	9.38061
ZNF430	1.329	1	9.19383
KRT77	1.324	1	9.15924
KRT2	1.312	1	9.07622
KRT19	1.302	1	9.00705
KRT14	1.302	1	9.00705
SIK3	1.3	1	8.99321
ZNF71	1.297	1	8.97246
SCD	1.282	1	8.86869
ZNF117	1.28	1	8.85485
HRNR	1.278	1	8.84102
SBSN	1.254	1	8.67499
TEAD4	1.246	1	8.61965
ZNF184	1.231	1	8.51588
KRT16	1.201	1	8.30834
KRT1	1.199	1	8.29451
PLEKHA5	1.185	1	8.19766
MAT2B	1.174	1	8.12156
RABL4	1.141	1	7.89327
LAGE3	1.135	1	7.85176
TBC1D5	1.121	1	7.75491
ODR4	1.112	1	7.69265
HIST1H4A	1.109	1	7.6719
KRT5	1.091	1	7.54738
