name	logFC	P.Value	t
AMBRA1	2.149	1	12.2837
MRPL17	1.901	1	10.8662
CHAF1B	1.758	1	10.0488
REPIN1	1.717	1	9.81441
TMED3	1.577	1	9.01417
TARBP1	1.565	1	8.94558
WFS1	1.545	1	8.83126
EWSR1	1.27	1	7.25935
SCD5	1.253	1	7.16218
MYST4	1.204	1	6.88209
NTHL1	1.16	1	6.63059
SIK3	1.155	1	6.60201
CAMLG	1.133	1	6.47625
EBP	1.132	1	6.47054
PEX16	1.065	1	6.08756
KRT9	1.062	1	6.07042
ATXN2	1.058	1	6.04755
TAB2	1.054	1	6.02469
SUN2	1.046	1	5.97896
MT-CO3	1.033	1	5.90465
CTH	1.027	1	5.87036
ZNF7	1.005	1	5.7446
SON	0.963	1	5.50453
SLTM	0.958	1	5.47595
CMTM4	0.952	1	5.44165
RIOK1	0.938	1	5.36163
STX12	0.925	1	5.28732
TMED2	0.912	1	5.21301
RBM10	0.886	1	5.0644
ODR4	0.879	1	5.02438
ZNF235	0.875	1	5.00152
CDKN2AIP	0.861	1	4.9215
SRRM1	0.856	1	4.89292
SGK3	0.824	1	4.71
MUTYH	0.801	1	4.57853
FOXRED2	0.763	1	4.36133
ZNF16	0.762	1	4.35561
NAF1	0.748	1	4.27559
C1ORF77	0.747	1	4.26987
HRNR	0.745	1	4.25844
ZNF420	0.713	1	4.07552
CCDC59	0.712	1	4.06981
CYBA	0.678	1	3.87546
RDH14	0.675	1	3.85832
KRT1	0.663	1	3.78972
TRIP6	0.66	1	3.77258
ZNF3	0.655	1	3.744
TBC1D5	0.648	1	3.70398
POP1	0.648	1	3.70398
RPS5	0.638	1	3.64682
THRAP3	0.637	1	3.64111
TAZ	0.634	1	3.62396
MRPS14	0.628	1	3.58966
PPIL2	0.625	1	3.57251
MLL	0.624	1	3.5668
MLLT11	0.614	1	3.50964
SEC61B	0.612	1	3.49821
RNF138	0.612	1	3.49821
ZNF571	0.601	1	3.43533
AGPAT5	0.599	1	3.4239
MLF2	0.595	1	3.40103
FLG2	0.592	1	3.38389
RBM14	0.59	1	3.37245
PRPF4B	0.589	1	3.36674
TKT	0.585	1	3.34387
PDP2	0.573	1	3.27528
GSTCD	0.573	1	3.27528
GPATCH8	0.57	1	3.25813
PCNT	0.568	1	3.2467
AGPAT4	0.565	1	3.22955
KRT14	0.564	1	3.22384
KRT16	0.561	1	3.20669
RAD9A	0.551	1	3.14953
PNKD	0.548	1	3.13238
OTUD4	0.538	1	3.07522
NDNL2	0.537	1	3.0695
POLR2J	0.536	1	3.06379
FAM126A	0.525	1	3.00091
ZNF316	0.519	1	2.96662
ANXA5	0.519	1	2.96662
COPZ1	0.518	1	2.9609
USP5	0.517	1	2.95518
TOP3B	0.515	1	2.94375
CYP20A1	0.512	1	2.9266
DDX51	0.512	1	2.9266
INTS2	0.512	1	2.9266
KRT77	0.511	1	2.92089
KRT2	0.506	1	2.89231
ANKRD27	0.504	1	2.88088
KIF21B	0.502	1	2.86944
CTNNB1	0.5	1	2.85801
SF3B14	0.5	1	2.85801
NCDN	0.498	1	2.84658
ATP6V1C1	0.485	1	2.77227
EFTUD2	0.481	1	2.74941
ZNF414	0.481	1	2.74941
C19ORF25	0.48	1	2.74369
LAGE3	0.478	1	2.73226
MCTS1	0.477	1	2.72654
DDT	0.476	1	2.72083
ZNF35	0.475	1	2.71511
KRT6C	0.471	1	2.69225
KIF1B	0.47	1	2.68653
GSG2	0.469	1	2.68081
TOP3A	0.469	1	2.68081
SNRNP70	0.468	1	2.6751
KRT10	0.467	1	2.66938
LIMA1	0.463	1	2.64652
GTSE1	0.461	1	2.63509
RPS12	0.461	1	2.63509
XRCC1	0.46	1	2.62937
EFHA1	0.459	1	2.62365
NGDN	0.457	1	2.61222
XAB2	0.457	1	2.61222
DNAJC16	0.451	1	2.57793
DDX11	0.449	1	2.56649
MAT2B	0.448	1	2.56078
MRPL44	0.444	1	2.53791
ABCF1	0.442	1	2.52648
FKBP8	0.439	1	2.50933
MAN1A2	0.438	1	2.50362
EFHD1	0.436	1	2.49219
SPATA5L1	0.435	1	2.48647
ANO10	0.432	1	2.46932
TRMT2B	0.431	1	2.46361
PREP	0.43	1	2.45789
RBMX	0.43	1	2.45789
GNS	0.428	1	2.44646
TP53I11	0.427	1	2.44074
EXD2	0.427	1	2.44074
SBSN	0.426	1	2.43503
KRT5	0.426	1	2.43503
MTCH2	0.426	1	2.43503
CPSF6	0.425	1	2.42931
ARHGAP17	0.425	1	2.42931
ZNF167	0.42	1	2.40073
ZNF860	0.42	1	2.40073
DRG1	0.419	1	2.39501
STK39	0.416	1	2.37787
SAAL1	0.415	1	2.37215
EPHA2	0.414	1	2.36643
TSPYL1	0.41	1	2.34357
PHKA1	0.409	1	2.33785
RANBP3	0.406	1	2.32071
HNRNPA1	0.405	1	2.31499
LUZP1	0.404	1	2.30927
SMCR7L	0.403	1	2.30356
TMED5	0.402	1	2.29784
COIL	0.402	1	2.29784
KIF4A	0.4	1	2.28641
CLPTM1	0.398	1	2.27498
WAPAL	0.397	1	2.26926
RPS15	0.397	1	2.26926
KBTBD11	0.395	1	2.25783
DTNB	0.395	1	2.25783
LMNB2	0.394	1	2.25211
PHKB	0.394	1	2.25211
KDM2A	0.391	1	2.23497
INF2	0.39	1	2.22925
KIAA0406	0.388	1	2.21782
U2AF1	0.388	1	2.21782
RAB31	0.388	1	2.21782
TAP1	0.386	1	2.20639
NCKIPSD	0.386	1	2.20639
PRUNE	0.381	1	2.1778
FAM125A	0.381	1	2.1778
MAP7D1	0.38	1	2.17209
HIST1H4A	0.378	1	2.16066
MT-ATP6	0.376	1	2.14922
KIDINS220	0.376	1	2.14922
HM13	0.374	1	2.13779
WDR6	0.372	1	2.12636
TOP2B	0.371	1	2.12064
RNF25	0.37	1	2.11493
DAZAP1	0.369	1	2.10921
IFRD1	0.369	1	2.10921
DYNLRB1	0.368	1	2.1035
MRPS26	0.367	1	2.09778
SDHB	0.367	1	2.09778
ABCB8	0.366	1	2.09206
IRF3	0.366	1	2.09206
SMAD3	0.366	1	2.09206
VAPA	0.365	1	2.08635
SCPEP1	0.363	1	2.07492
SH3BP4	0.359	1	2.05205
TANC1	0.359	1	2.05205
TMEM85	0.357	1	2.04062
POLR2H	0.357	1	2.04062
ATP5H	0.356	1	2.0349
COG3	0.356	1	2.0349
UTP14A	0.356	1	2.0349
PKM2	0.355	1	2.02919
RABL4	0.354	1	2.02347
PABPN1	0.354	1	2.02347
CDC42	0.353	1	2.01776
NUMA1	0.353	1	2.01776
SLC22A18	0.352	1	2.01204
EXOC6	0.349	1	1.99489
DHX35	0.348	1	1.98918
ZNF148	0.346	1	1.97774
POLR3E	0.344	1	1.96631
KRT19	0.343	1	1.9606
DNAJA2	0.343	1	1.9606
MYL12B	0.343	1	1.9606
BAZ1B	0.343	1	1.9606
ACTA2	0.341	1	1.94916
DEGS1	0.34	1	1.94345
PPM1G	0.339	1	1.93773
RRM2B	0.337	1	1.9263
MEMO1	0.335	1	1.91487
PSMA2	0.333	1	1.90344
ATAD5	0.329	1	1.88057
CDK5RAP1	0.329	1	1.88057
CAP1	0.328	1	1.87486
COG4	0.328	1	1.87486
TBC1D15	0.328	1	1.87486
RPS26	0.327	1	1.86914
DCD	0.326	1	1.86342
RUFY3	0.325	1	1.85771
ETV3	0.323	1	1.84628
SEC22B	0.323	1	1.84628
ATG4B	0.322	1	1.84056
PRR12	0.32	1	1.82913
NOL9	0.319	1	1.82341
LRRC1	0.316	1	1.80626
CDS2	0.315	1	1.80055
SMG6	0.315	1	1.80055
KIF18A	0.314	1	1.79483
TEX264	0.314	1	1.79483
GLMN	0.314	1	1.79483
AGPAT6	0.314	1	1.79483
TFDP2	0.313	1	1.78912
ATG7	0.312	1	1.7834
BBX	0.312	1	1.7834
VTN	0.311	1	1.77768
STYX	0.309	1	1.76625
KIAA1524	0.308	1	1.76054
NAP1L1	0.308	1	1.76054
GRPEL2	0.307	1	1.75482
VRK2	0.307	1	1.75482
SLC25A42	0.306	1	1.7491
LSG1	0.306	1	1.7491
TRIP12	0.306	1	1.7491
BIRC6	0.305	1	1.74339
NOP16	0.305	1	1.74339
VCP	0.304	1	1.73767
WRN	0.304	1	1.73767
ACTC1	0.303	1	1.73196
ATP6V0D1	0.302	1	1.72624
RPS28	0.302	1	1.72624
PDHX	0.301	1	1.72052
MRPS27	0.301	1	1.72052
DTX2	0.3	1	1.71481
MOXD1	0.3	1	1.71481
ENOPH1	0.3	1	1.71481
MATR3	0.3	1	1.71481
RAB18	0.299	1	1.70909
CCDC109A	0.299	1	1.70909
NDUFS3	0.299	1	1.70909
C4ORF14	0.299	1	1.70909
TRPT1	0.299	1	1.70909
FMNL3	0.298	1	1.70337
HNRNPH2	0.298	1	1.70337
