name	logFC	P.Value	t
MRPL17	3.214	1	27.4492
DTX2	2.909	1	24.8452
ZNF223	2.775	1	23.7011
ZNF7	2.762	1	23.5901
EBP	2.716	1	23.1974
ZNF16	2.636	1	22.5143
ZNF235	2.55	1	21.7801
CHAF1B	2.475	1	21.1397
REPIN1	2.418	1	20.6531
RBM10	2.377	1	20.303
ZNF229	2.361	1	20.1664
TARBP1	2.359	1	20.1493
MT-CO3	2.352	1	20.0896
ZNF234	2.338	1	19.97
ZNF660	2.338	1	19.97
AMBRA1	2.286	1	19.5261
WFS1	2.279	1	19.4663
CTH	2.173	1	18.5613
C1ORF77	2.108	1	18.0063
ZNF167	2.101	1	17.9466
ZNF860	2.101	1	17.9466
NTHL1	2.101	1	17.9466
FOXP2	2.085	1	17.81
PTGES3	2.083	1	17.7929
TRIP6	2.08	1	17.7673
PEX16	2.048	1	17.4941
MLL	2.046	1	17.477
ZNF624	2.009	1	17.1611
TAB2	2.004	1	17.1184
MYST4	1.96	1	16.7427
GATAD2B	1.943	1	16.5976
CYBA	1.84	1	15.7182
ATXN2	1.803	1	15.4023
CMTM4	1.796	1	15.3425
MT-ATP6	1.774	1	15.1547
ZNF420	1.692	1	14.4546
MAT2B	1.689	1	14.429
TBC1D5	1.687	1	14.4119
SCD5	1.618	1	13.8228
ZNF571	1.584	1	13.5325
RDH14	1.573	1	13.4386
ZNF117	1.562	1	13.3447
TMED3	1.559	1	13.3191
STX12	1.556	1	13.2934
PDP2	1.55	1	13.2422
RPS23	1.537	1	13.1312
GTSE1	1.505	1	12.858
FLG2	1.496	1	12.7812
KRT2	1.489	1	12.7214
SLTM	1.462	1	12.4909
EWSR1	1.457	1	12.4482
OTUD4	1.447	1	12.3628
ZNF286A	1.439	1	12.2945
ZNF184	1.439	1	12.2945
BUB1	1.413	1	12.0725
KRT10	1.391	1	11.8847
ZNF76	1.378	1	11.7737
ZNF35	1.376	1	11.7566
SBSN	1.28	1	10.937
FSD1	1.237	1	10.5699
TEAD4	1.231	1	10.5186
ETV3	1.224	1	10.4589
MAN1A2	1.215	1	10.382
ZXDC	1.212	1	10.3564
TCOF1	1.2	1	10.254
PAPD7	1.196	1	10.2198
KIAA0100	1.169	1	9.98929
ODR4	1.16	1	9.91245
KIF3B	1.16	1	9.91245
LIMA1	1.158	1	9.89538
ZNF250	1.141	1	9.75023
RABL4	1.14	1	9.7417
CAMLG	1.139	1	9.73316
SGK3	1.116	1	9.53679
ZNF430	1.115	1	9.52825
MRPS14	1.115	1	9.52825
ZNF354A	1.114	1	9.51971
TSPO	1.09	1	9.3148
TP53I11	1.076	1	9.19527
THRAP3	1.075	1	9.18673
PLEKHA5	1.07	1	9.14405
VAPA	1.066	1	9.10989
HRNR	1.039	1	8.87937
USP5	1.038	1	8.87083
MYH10	1.033	1	8.82814
RPL37	1.018	1	8.70008
ZNF724P	1.002	1	8.56347
CDKN2A	0.992	1	8.47809
ZNF71	0.982	1	8.39271
KRT77	0.98	1	8.37564
POP1	0.976	1	8.34149
KRT19	0.97	1	8.29026
LAGE3	0.966	1	8.25611
MYH9	0.964	1	8.23903
MAP4	0.963	1	8.23049
KRT16	0.947	1	8.09389
RIOK1	0.945	1	8.07681
DCD	0.945	1	8.07681
TAB1	0.942	1	8.0512
XRCC1	0.94	1	8.03412
KRT14	0.928	1	7.93167
TSGA14	0.921	1	7.8719
SIK3	0.9	1	7.69261
SLC22A18	0.898	1	7.67553
MBOAT7	0.893	1	7.63284
ADO	0.888	1	7.59016
CCDC59	0.886	1	7.57308
TAZ	0.868	1	7.4194
SUN2	0.861	1	7.35963
DULLARD	0.859	1	7.34256
DUT	0.85	1	7.26572
PCNT	0.84	1	7.18034
ZNF316	0.839	1	7.1718
TBC1D10B	0.819	1	7.00104
ISCU	0.816	1	6.97543
RPL29	0.814	1	6.95835
BRP44L	0.801	1	6.84736
MBNL3	0.786	1	6.71929
RBM14	0.773	1	6.6083
IRF2BP1	0.759	1	6.48877
CXXC1	0.759	1	6.48877
NDNL2	0.747	1	6.38632
CLIC4	0.746	1	6.37778
ZNF22	0.742	1	6.34363
ARPC4	0.736	1	6.2924
RPL32	0.729	1	6.23264
IMPACT	0.728	1	6.2241
POM121C	0.726	1	6.20702
RPL28	0.724	1	6.18995
SNRNP70	0.719	1	6.14726
RNF138	0.719	1	6.14726
PGM1	0.717	1	6.13018
LUZP1	0.716	1	6.12164
DUSP11	0.713	1	6.09603
LMNB2	0.706	1	6.03627
ZKSCAN4	0.7	1	5.98504
SEC61B	0.699	1	5.9765
MUTYH	0.695	1	5.94235
KRT5	0.688	1	5.88258
RPL19	0.684	1	5.84843
