name	logFC	P.Value	t
MRPL17	3.184	1	26.5216
ZNF7	2.787	1	23.2158
CHAF1B	2.766	1	23.0409
AMBRA1	2.738	1	22.8078
DTX2	2.653	1	22.1
ZNF16	2.522	1	21.0091
MT-CO3	2.418	1	20.1431
REPIN1	2.416	1	20.1265
EBP	2.404	1	20.0265
WFS1	2.373	1	19.7684
MYST4	2.361	1	19.6685
ZNF235	2.321	1	19.3354
ZNF223	2.321	1	19.3354
ZNF571	2.269	1	18.9024
PEX16	2.252	1	18.7608
ZNF167	2.229	1	18.5693
ZNF860	2.229	1	18.5693
NTHL1	2.142	1	17.8449
TARBP1	2.084	1	17.3619
ZNF229	2.057	1	17.1371
CTH	2.034	1	16.9455
TMED3	1.997	1	16.6374
ZNF234	1.996	1	16.6291
ZNF660	1.996	1	16.6291
TAB2	1.993	1	16.6041
MLL	1.979	1	16.4876
C1ORF77	1.945	1	16.2044
ZNF624	1.911	1	15.9213
TRIP6	1.866	1	15.5466
SCD5	1.844	1	15.3634
GTSE1	1.836	1	15.2968
PTGES3	1.832	1	15.2635
FOXP2	1.824	1	15.1969
ATXN2	1.807	1	15.0553
SCD	1.788	1	14.8971
ZNF420	1.783	1	14.8555
CYBA	1.76	1	14.6639
GATAD2B	1.698	1	14.1477
CMTM4	1.674	1	13.9478
ZNF286A	1.67	1	13.9145
ZNF184	1.67	1	13.9145
PDP2	1.661	1	13.8396
MT-ATP6	1.626	1	13.5481
RBM10	1.541	1	12.8403
ZNF117	1.515	1	12.6238
STX12	1.495	1	12.4573
RDH14	1.493	1	12.4406
HRNR	1.456	1	12.1325
TBC1D5	1.444	1	12.0326
ZNF35	1.44	1	11.9993
RPS23	1.402	1	11.6828
PLEKHA5	1.399	1	11.6579
SBSN	1.36	1	11.3331
EWSR1	1.355	1	11.2915
SLTM	1.343	1	11.1916
RABL4	1.322	1	11.0167
PAPD7	1.283	1	10.6919
FLG2	1.254	1	10.4504
SGK3	1.23	1	10.2506
BUB1	1.221	1	10.1757
LAGE3	1.221	1	10.1757
TSPO	1.203	1	10.0258
ODR4	1.199	1	9.99246
TAZ	1.175	1	9.79261
KRT16	1.159	1	9.65937
ZNF71	1.133	1	9.44287
ZNF430	1.119	1	9.32629
