name	logFC	P.Value	t	TFDatabase
FGFR3	0.24233	0.591826623021075	0.557138	absent
FGFR4	0.24233	0.591826623021075	0.557138	absent
FGR	0.24233	0.591826623021075	0.557138	absent
FYN	0.24233	0.591826623021075	0.557138	absent
HCK	0.24233	0.591826623021075	0.557138	absent
LCK	0.24233	0.591826623021075	0.557138	absent
MAK	0.24233	0.591826623021075	0.557138	absent
YES1	0.24233	0.591826623021075	0.557138	absent
PSPC1	0.242245	0.280436252877608	1.152812	absent
CNPY3	0.241591	0.524989150192084	0.662909	absent
MIER1	0.241394	0.561615245645709	0.604048	absent
BRD1	0.241114	0.602006764153683	0.541629	absent
ZNF830	0.2409	0.310417608390571	1.078745	absent
HOXB9	0.240754	0.3080250646523	1.084443	absent
CHMP7	0.240685	0.590941091248351	0.558494	absent
SRSF12	0.240588	0.376005507540855	0.934245	absent
ISG20L2	0.240371	0.531561345394671	0.652172	absent
PCF11	0.240019	0.205304134622427	1.371817	absent
NELFA	0.239826	0.353428070051871	0.981671	absent
SLC9A3R1	0.239591	0.516634770488492	0.676677	absent
SNRPB2	0.23956	0.133157136554497	1.660902	absent
NSD3	0.239415	0.322879472910582	1.049608	absent
CFDP1	0.239133	0.619013640155354	0.516028	absent
RBM26	0.238752	0.316580368769347	1.064224	absent
EIF1	0.238562	0.637544697065774	0.488544	absent
EIF1B	0.238562	0.637544697065774	0.488544	absent
SNAP47	0.238128	0.612209385111464	0.526226	absent
BMS1	0.237845	0.44696404146148	0.797398	absent
KIAA1143	0.237776	0.63208905743966	0.496593	absent
RBMY1A1	0.237745	0.431422564772059	0.825997	absent
RBMY1B	0.237745	0.431422564772059	0.825997	absent
RBMY1C	0.237745	0.431422564772059	0.825997	absent
RBMY1D	0.237745	0.431422564772059	0.825997	absent
RBMY1E	0.237745	0.431422564772059	0.825997	absent
RBMY1J	0.237745	0.431422564772059	0.825997	absent
RRP12	0.237453	0.454127478416364	0.784442	absent
MTX2	0.237344	0.622081585672035	0.511449	absent
RBAK	0.237264	0.485737354635732	0.728832	absent
NOL12	0.236979	0.700623430564319	0.397769	absent
DDX5	0.236765	0.301401784829497	1.100399	absent
CST4	0.236573	0.738261381999226	0.34532	absent
FARSA	0.236402	0.580094870821594	0.575192	absent
MIDEAS	0.236207	0.58447005299591	0.568436	absent
PDPR	0.235152	0.725247491910742	0.363329	absent
INA	0.234999	0.472868060153174	0.751178	absent
LIN7B	0.23492	0.561814064014563	0.603735	absent
LIN7C	0.23492	0.561814064014563	0.603735	absent
ETV3	0.234853	0.324743243513422	1.045325	absent
NR2F2	0.234039	0.604428950365251	0.53796	absent
CCDC112	0.23377	0.131016822734151	1.671478	absent
SF3A3	0.233611	0.518894685027338	0.67294	absent
SQSTM1	0.233604	0.610805109221492	0.528338	absent
CLASRP	0.2336	0.509090489321699	0.689228	absent
TYSND1	0.233532	0.632777381095652	0.495575	absent
NKAPD1	0.233404	0.45048291480302	0.791016	absent
MAFA	0.233024	0.543360266838424	0.633093	absent
UBE2V1	0.232892	0.655683025689921	0.462025	absent
UBE2V2	0.232892	0.655683025689921	0.462025	absent
CLNS1A	0.232757	0.61000737675668	0.529539	absent
SYF2	0.232706	0.544533058061113	0.63121	absent
RRM1	0.232293	0.679032408627641	0.428398	absent
MTA3	0.231514	0.577024586460363	0.57995	absent
U2SURP	0.230952	0.100073612881402	1.845446	absent
BRWD1	0.23084	0.678334168036287	0.429396	absent
MORF4L1	0.230181	0.49751018429713	0.70872	absent
SNX3	0.229674	0.600059821454155	0.544584	absent
STEEP1	0.229639	0.233779420794144	1.281967	absent
TCERG1	0.229316	0.282283800106181	1.14807	absent
AFF4	0.228616	0.525983459156559	0.66128	absent
POLE4	0.228488	0.558029509925825	0.609709	absent
HMGB1	0.227774	0.500523714421922	0.703621	absent
USP42	0.227724	0.433711015438102	0.821742	absent
MSL3P1	0.227293	0.31076181454088	1.077928	absent
NOP58	0.227283	0.556398328469403	0.612292	absent
FTSJ1	0.227027	0.463947503118892	0.766901	absent
IRGQ	0.226925	0.636095046769033	0.490679	absent
POLR2I	0.226849	0.6447641317923	0.477945	absent
ADRM1	0.226763	0.590860157037532	0.558618	absent
TCEAL2	0.226721	0.622257546121361	0.511187	absent
DIABLO	0.226378	0.745663310477035	0.335132	absent
ZIC3	0.226365	0.207464405579718	1.36464	absent
PMF1	0.226342	0.423479063083035	0.840887	absent
H2AX	0.225817	0.708966509023357	0.386045	absent
NSRP1	0.225584	0.581952372383201	0.57232	absent
U2AF1	0.225581	0.485216321948125	0.729729	absent
NONO	0.225402	0.218077060945929	1.330283	absent
ZCCHC9	0.225326	0.510127586760889	0.687496	absent
KRT83	0.225259	0.835493834044473	0.214143	absent
LMF2	0.224734	0.593715461881231	0.554249	absent
MTMR3	0.224543	0.586553724392113	0.565228	absent
RNF2	0.22425	0.418838756392558	0.849676	absent
ZBTB7A	0.224115	0.345532771460976	0.998789	absent
TYMS	0.224074	0.787111388632386	0.278751	absent
NBPF12	0.223777	0.683143244040776	0.422533	absent
NBPF14	0.223777	0.683143244040776	0.422533	absent
NBPF26	0.223777	0.683143244040776	0.422533	absent
LENG1	0.223732	0.574537684732165	0.583814	absent
ZEB2	0.223325	0.39316528179596	0.899577	absent
GPN3	0.222728	0.584400171355332	0.568543	absent
RASSF7	0.2227	0.55119509396339	0.620559	absent
NT5DC3	0.22262	0.570217085123485	0.59055	absent
DNAJC21	0.222513	0.369492505994305	0.947705	absent
SORBS1	0.222328	0.64545242457803	0.476937	absent
BIRC5	0.222268	0.575579938664952	0.582194	absent
