name	logFC	P.Value	t
KRT85	1.553203	0.0896247499882107	1.915808
GPAT3	1.373132	0.0396079108119774	2.429015
SARNP	1.263805	0.0112704121266217	3.223298
ETFA	1.201029	0.130125522328555	1.675929
KRT87P	1.16751	0.344968626188894	1.000023
KRT86	1.14522	0.279453435899702	1.155345
ZNF112	1.140695	0.0218388450202003	2.802131
HPF1	1.101235	0.102477713901847	1.830243
CRIPT	1.066293	0.0624863130639666	2.143642
KRT83	1.058108	0.342295536792504	1.005892
ZFHX2	1.042484	0.00977621975156867	3.315301
KRT81	1.040976	0.330518385628434	1.032175
CCDC7	1.039702	0.0589361030759314	2.180356
ENOX1	1.039702	0.0589361030759314	2.180356
DPM1	1.030441	0.0807872532691617	1.9817
SRSF5	1.006151	0.0445900193657184	2.354964
KRT34	0.939556	0.302545263395662	1.097625
RPS21	0.938162	0.130515545890306	1.673978
CWC25	0.91594	0.0572053832347185	2.199046
NIPSNAP2	0.91075	0.121041316038341	1.722964
SRSF8	0.902122	0.0793620222108442	1.992968
RNF113B	0.893657	0.0266374334211614	2.677276
SAP130	0.882578	0.143491833098858	1.611924
PPP1R3D	0.853437	0.462669453680991	0.76917
KRT33B	0.84886	0.234183825822389	1.280759
ZRANB2	0.847599	0.0311924975957998	2.578367
CALU	0.831342	0.326545571376687	1.041202
HMGN5	0.821449	0.072269510508733	2.052107
YTHDC1	0.814609	0.0167330481260615	2.970524
MCPH1	0.811394	0.22933503096587	1.295358
MICOS10	0.799364	0.127512324351869	1.689141
PALLD	0.796685	0.126021185453908	1.696793
GTF2F1	0.774515	0.086349392593621	1.939474
GATA4	0.737868	0.0431587030440278	2.375357
ADGRL2	0.736737	0.16147104256395	1.533864
ZNF593	0.726681	0.254951543310366	1.220954
CKS1B	0.726415	0.145888357716138	1.601026
GOLGA6L2	0.718998	0.357744134893881	0.972434
PRNP	0.71521	0.488045449902061	0.724865
CCDC86	0.713459	0.0925028115164103	1.895683
PYGO2	0.712109	0.0965898856481462	1.8681
NOP16	0.706679	0.104693257827244	1.816526
ANP32A	0.704124	0.085118402607636	1.948591
SETSIP	0.696141	0.335905935977955	1.020065
CDK2AP2	0.694204	0.170651731355252	1.496965
DNAJC8	0.685404	0.199395854806493	1.391785
EIF1AD	0.678698	0.103629820561762	1.823075
ZCCHC9	0.671494	0.0726486033184128	2.048807
WBP4	0.66694	0.134395687381658	1.654853
PQBP1	0.663281	0.0801545836751348	1.986678
MAX	0.660284	0.174233880864152	1.483044
POLR2D	0.660245	0.294844116896633	1.116473
RNF113A	0.659437	0.0192294247371755	2.882431
RRP15	0.658567	0.274190962263308	1.16903
ZFP37	0.653823	0.13385974425144	1.657465
POLL	0.652283	0.270254562743251	1.179407
FUBP1	0.650665	0.0896525398946744	1.915611
EXOSC4	0.649796	0.289857629969475	1.128886
CDK2AP1	0.64782	0.170739788506416	1.49662
YY1	0.642617	0.210585734055744	1.354382
NUCKS1	0.642596	0.230080153658084	1.293098
TRIR	0.64044	0.163651794069554	1.524933
SRFBP1	0.639622	0.191613985932295	1.41888
COL1A1	0.635374	0.330436135809542	1.032361
SMNDC1	0.631674	0.149462387057973	1.58507
ZNF286B	0.627319	0.380984432390991	0.92407
EAPP	0.626472	0.274701058144575	1.167694
CENPQ	0.625154	0.211617065814582	1.351021
NKAPL	0.624582	0.0915449159998752	1.902314
PSMG1	0.624202	0.199057068617379	1.392945
STEEP1	0.623987	0.00755756496407808	3.483433
FDPS	0.623134	0.20123206839778	1.385525
RAD51AP1	0.621683	0.121915950669624	1.718297
KLHL7	0.616142	0.337571459652865	1.016351
MCRIP2	0.616006	0.385592967060715	0.914737
TCEAL2	0.608301	0.20538963458139	1.371532
USF1	0.60184	0.0671579927074328	2.098316
PCLAF	0.596779	0.218699913926427	1.328311
LRIF1	0.59546	0.0418468769374163	2.394649
ZNF622	0.593843	0.0634154943049993	2.134369
CFDP1	0.592602	0.234845776785123	1.278786
LENG1	0.590996	0.159467794393286	1.542164
SURF2	0.589228	0.271577435623404	1.175906
PWWP2A	0.586798	0.107433747746301	1.79993
BSN	0.585016	0.0852621998405072	1.947519
CCDC85B	0.58394	0.137242765800487	1.641139
GTF2F2	0.58223	0.00535527422786966	3.712126
MEIS3	0.580943	0.165448932118702	1.517653
MEIS3P1	0.580943	0.165448932118702	1.517653
HDGFL3	0.577393	0.24112309574489	1.260302
TTMP	0.576738	0.318597716593808	1.059519
ETV6	0.576697	0.170380845456922	1.498028
FUS	0.576116	0.0839034640436757	1.957713
SRSF2	0.575245	0.101732677484925	1.834918
MRPS17	0.575061	0.260947915488335	1.204437
ZMAT2	0.574894	0.156080240931685	1.556413
GNL2	0.572229	0.172351808400672	1.490326
C9orf78	0.570326	0.200949774308525	1.386484
TCEA1	0.568021	0.181118266341282	1.456984
MRPL45	0.564771	0.211471999348943	1.351493
MED24	0.564763	0.255437124310519	1.219605
PIK3C2A	0.5644	0.19852328810715	1.394777
MRPS6	0.562917	0.281918704768601	1.149005
NOL8	0.561949	0.200177982873508	1.389112
NKAPD1	0.561818	0.0912986527596641	1.90403
SAP30BP	0.561026	0.302639647828434	1.097396
RING1	0.560771	0.171801062441724	1.49247
KIAA0319L	0.557604	0.267414127161565	1.186971
CNPY3	0.556327	0.163260906279926	1.526526
C11orf98	0.5557	0.169165993374637	1.502815
CIR1	0.555426	0.117046692012837	1.744688
YIPF1	0.555026	0.154002700863249	1.56529
DDX56	0.554824	0.120530622646566	1.725704
ZC3H8	0.549595	0.157246501744805	1.551476
AUTS2	0.549234	0.164362008139771	1.522048
NSRP1	0.548235	0.199653153091164	1.390905
PPP1R18	0.545676	0.0492728915126903	2.292518
BUD13	0.54438	0.184843410226819	1.443244
RSPRY1	0.53866	0.120424635391188	1.726274
SLX9	0.537245	0.223434682728957	1.313477
CWC27	0.534864	0.26155224178858	1.20279
SLC4A1AP	0.533842	0.226043202417878	1.305417
ZNF184	0.533698	0.423816003447116	0.840252
UTP14A	0.532694	0.119553038227114	1.730979
SRSF3	0.530493	0.113338181649097	1.76548
ZSCAN12	0.530255	0.228614166539614	1.29755
BICRA	0.530221	0.194923968195963	1.40724
RCN1	0.530075	0.43668031000765	0.816244
BPNT2	0.529212	0.203376676437474	1.378276
MPHOSPH10	0.528696	0.266180875990619	1.190275
XP32	0.52837	0.559465968845758	0.607439
SF3B5	0.5266	0.184174259349449	1.445694
MRFAP1	0.522776	0.186925204733018	1.435671
USP36	0.522353	0.214710891602375	1.341023
SAR1B	0.52208	0.566855715051963	0.595811
CCDC12	0.52162	0.303961818266155	1.0942
DHCR7	0.52075	0.229270243712264	1.295554
EMC3	0.519378	0.360178377980404	0.967262
MEIS1	0.518715	0.0776914849757974	2.006425
ZNF580	0.516724	0.183969716571419	1.446445
SPTY2D1	0.51652	0.330090942926783	1.033142
TMEM245	0.516481	0.0769274629524324	2.012673
SUSD5	0.515408	0.182149930580918	1.453154
TSR3	0.512613	0.111471498998431	1.776187
SRP14	0.511398	0.0221036906051485	2.794538
IWS1	0.508493	0.084501639669102	1.953206
PRPF40B	0.506955	0.344456180654083	1.001145
RRP36	0.506558	0.213189582063077	1.345924
RPL21	0.506001	0.174108105223844	1.483528
MNAT1	0.505118	0.358516278450364	0.970791
KRT35	0.503539	0.251163290683272	1.231554
C1orf52	0.500737	0.348671230318625	0.991949
RBM7	0.499992	0.0477560476348929	2.312076
PCNP	0.499237	0.218686876971031	1.328353
ALYREF	0.498729	0.194369405005191	1.409179
RPS29	0.498077	0.313780166963995	1.070795
EIF1	0.492686	0.340906282844571	1.008957
EIF1B	0.492686	0.340906282844571	1.008957
RBM14	0.491639	0.211138287047748	1.35258
ELL	0.49014	0.205820407042216	1.370096
FOXC2	0.489807	0.208871623310894	1.359999
GPATCH4	0.487057	0.439777274338827	0.810537
KIAA1143	0.486929	0.337305499510023	1.016943
ZNF207	0.484876	0.0295992617723306	2.611192
SRP9	0.484187	0.517735100681964	0.674856
GNL3	0.483319	0.189283208876407	1.427181
PHAX	0.48289	0.244141527294769	1.251557
KLF13	0.481963	0.291855126584882	1.123893
THRAP3	0.480596	0.095769283055361	1.873548
SOX2	0.480078	0.199070190971305	1.3929
REXO2	0.479634	0.337799410852666	1.015844
NOLC1	0.478915	0.531544637209966	0.652199
ZNF787	0.478786	0.208919520260967	1.359842
NFYC	0.478548	0.156085915986126	1.556389
PRKRIP1	0.477799	0.339884332666827	1.011217
CLASRP	0.477709	0.194287627708672	1.409465
SLC25A14	0.475209	0.416542450293201	0.85405
ANP32E	0.474911	0.116553434462924	1.747418
LSM1	0.47415	0.458895702064553	0.775894
ZFP42	0.472825	0.159499746784217	1.542031
SNW1	0.472213	0.114388456278609	1.759528
FDFT1	0.471582	0.427184508128616	0.833918
ADPGK	0.471432	0.300329039565486	1.10301
STRIP1	0.46972	0.198175290552044	1.395973
MFAP1	0.468807	0.272274088803427	1.174068
CDK12	0.466166	0.0677118430814935	2.093147
EWSR1	0.465724	0.280395755162391	1.152916
HMGB1	0.464923	0.186779430688381	1.436199
PHF2	0.463917	0.173199929841409	1.487036
UFC1	0.463695	0.320697922050884	1.054645
RGS10	0.462073	0.286687771250147	1.136865
FAM219A	0.461544	0.140867741801495	1.624048
UBE2C	0.460469	0.387753442816705	0.91039
NOL7	0.460431	0.209043120822406	1.359435
CENPC	0.460041	0.115293465097054	1.75444
WBP11	0.459527	0.094077135825471	1.884924
DNTTIP2	0.458173	0.305979725727512	1.089341
ACAA2	0.457779	0.0916843985349172	1.901344
RPS5	0.45707	0.0804504335479234	1.984345
MBNL1	0.455704	0.19301025582364	1.413949
UTP3	0.455073	0.480963758973374	0.737076
PIN4	0.454427	0.130810324655061	1.672507
OXA1L	0.453418	0.125515562439927	1.699406
SPRR1A	0.453281	0.453407055842284	0.785739
SPRR1B	0.453281	0.453407055842284	0.785739
TCAF1	0.452741	0.254697377258676	1.221661
TECR	0.449911	0.466466560756831	0.762441
GPS2	0.449095	0.079390653103902	1.992739
CCNT1	0.447737	0.0293342551344933	2.616825
NKAP	0.447605	0.311449543440483	1.076298
RPS28	0.447527	0.260331618130209	1.20612
DRAP1	0.446957	0.289987062172384	1.128562
PIN1	0.446825	0.363752491573409	0.959713
CHID1	0.445821	0.318946752437807	1.058707
FTSJ3	0.443629	0.221143237655101	1.320622
MRRF	0.443628	0.210645622058996	1.354187
GOLGA7	0.443365	0.0672150005686301	2.097782
HEXIM1	0.44329	0.314634173110562	1.068786
ZC3H4	0.443266	0.12059391969441	1.725364
ANXA10	0.443176	0.394152731066155	0.897615
INTS14	0.442871	0.424712695779152	0.838562
HNRNPD	0.442494	0.287362588469894	1.135161
ZCCHC7	0.440597	0.402111357005684	0.881933
PABPN1	0.440457	0.435572903978532	0.818292
ZFAND5	0.440249	0.146282475834495	1.599249
CCDC174	0.439328	0.341383897699897	1.007902
SRSF1	0.43822	0.249010793568944	1.237636
PRCC	0.438189	0.327315014551829	1.039447
DDX5	0.43815	0.0740953070999464	2.036365
UTP14C	0.437873	0.160789524139965	1.536677
PRKACA	0.437191	0.308990846348623	1.082139
HDGF	0.437015	0.278401680478541	1.158063
RPS6KC1	0.436357	0.485817542217288	0.728694
GTF2IRD1	0.43539	0.278370750606481	1.158143
POLR1D	0.434086	0.344792435332727	1.000409
KNOP1	0.433747	0.299473355672725	1.105097
EFNA3	0.432982	0.351158844980113	0.986561
TOR1A	0.43258	0.35087626221038	0.987172
ISY1	0.432442	0.417937566708454	0.85139
NDUFV2	0.431631	0.200806623149405	1.386971
GNAQ	0.431379	0.463673301560689	0.767388
KRAS	0.43108	0.296228282765432	1.113057
BCL7B	0.430897	0.395389483515148	0.895163
RFX1	0.429612	0.108858119691948	1.791461
SNRPA	0.427743	0.0534632468215243	2.241434
KRI1	0.427456	0.321787530682079	1.052126
CITED1	0.427092	0.261081781991477	1.204072
MAN1A1	0.426747	0.139864491587786	1.628738
MND1	0.426652	0.439329754939772	0.81136
NOP14	0.426524	0.313629376068055	1.07115
ZNF800	0.424928	0.119030674024773	1.733814
LYAR	0.424235	0.325031989955288	1.044664
HS2ST1	0.424136	0.0600434750989224	2.168677
ATXN7L3	0.422592	0.376063707161765	0.934125
MEAF6	0.422288	0.310795920770841	1.077847
POLR1G	0.421666	0.170729105717613	1.496661
KLF3	0.421488	0.0698235789518925	2.073809
CYP20A1	0.421461	0.268172002418641	1.184946
IK	0.421376	0.199563165646401	1.391212
COX5B	0.420655	0.131522859517769	1.668963
ZNF106	0.420221	0.200222623561688	1.38896
SLC16A10	0.419043	0.384605932640913	0.916729
TRIM28	0.418957	0.116915592340843	1.745412
HNRNPDL	0.417837	0.235580878307047	1.276601
SF1	0.417618	0.0702907331414213	2.069608
NDUFB11	0.417488	0.102256421405087	1.831628
ZNF384	0.416722	0.0605274140502432	2.163639
BRD2	0.41524	0.32563008213439	1.043294
GMEB2	0.414593	0.389750481339405	0.906387
KMT2C	0.413452	0.16408658096374	1.523165
LMF2	0.413106	0.33646425779967	1.018818
BCLAF1	0.412628	0.228615073888085	1.297547
INTS3	0.412607	0.131043427872542	1.671346
SART1	0.412047	0.189795041473926	1.425351
RAMAC	0.411719	0.382294744545287	0.921408
RAB21	0.41145	0.287252961986724	1.135438
GINS3	0.411419	0.125635061022083	1.698788
SRSF7	0.410824	0.21321540271887	1.345841
MFN1	0.410377	0.170902645001195	1.495981
PHF10	0.40966	0.352558041967836	0.983543
DPP6	0.409486	0.352994398650964	0.982604
C1orf131	0.408757	0.271199504520176	1.176905
RAB10	0.408586	0.189285092397129	1.427174
MT1A	0.407999	0.665387239219675	0.447982
MT1H	0.407999	0.665387239219675	0.447982
MRPL32	0.407925	0.25551436419228	1.21939
DDX54	0.407695	0.163330040440038	1.526244
NFYA	0.407673	0.235035243948078	1.278222
TCF3	0.407514	0.291345471653216	1.125164
TTF1	0.406828	0.270190883709691	1.179576
GAR1	0.406048	0.454607969800794	0.783578
NOL10	0.405754	0.14812960857461	1.59098
ZNF444	0.405571	0.315522797550701	1.0667
ELOA	0.405348	0.167503592098299	1.509415
FIP1L1	0.4052	0.331169521466133	1.030703
