name	logFC	P.Value	t
INTS3	6.68317	1	6.68317
RBMX	5.17414	1	5.17414
HRNR	4.86319	1	4.86319
YBX3	3.19411	1	3.19411
JUP	2.87859	1	2.87859
SAFB2	2.77341	1	2.77341
MAPK1	2.70025	1	2.70025
SAFB	2.52191	1	2.52191
INTS7	2.49905	1	2.49905
FLG2	2.43503	1	2.43503
MAGED1	2.33442	1	2.33442
EIF4A3	2.23839	1	2.23839
SLTM	2.1698	1	2.1698
PABPC1	2.16066	1	2.16066
CENPV	2.11493	1	2.11493
AUTS2	2.11036	1	2.11036
ACTR1A	2.10121	1	2.10121
HNRNPA3	2.0692	1	2.0692
MAP4	2.02805	1	2.02805
MAGED2	1.98232	1	1.98232
CHTF8	1.93202	1	1.93202
CFL1	1.90001	1	1.90001
XRCC5	1.868	1	1.868
TOMM22	1.85885	1	1.85885
ADRM1	1.80398	1	1.80398
SMC4	1.76282	1	1.76282
MATR3	1.7491	1	1.7491
KRT9	1.65765	1	1.65765
RBBP6	1.62106	1	1.62106
PFAS	1.59363	1	1.59363
PRRC2C	1.56619	1	1.56619
TMEM209	1.53875	1	1.53875
CUL5	1.51132	1	1.51132
ARGLU1	1.45644	1	1.45644
DAZAP1	1.44272	1	1.44272
PCCB	1.42443	1	1.42443
RPL29	1.41529	1	1.41529
CDSN	1.41529	1	1.41529
KHDRBS1	1.40614	1	1.40614
ADNP	1.38785	1	1.38785
CYFIP2	1.38328	1	1.38328
SF3A1	1.3787	1	1.3787
KRT10	1.3787	1	1.3787
PRKAR2A	1.33298	1	1.33298
KRT2	1.26896	1	1.26896
DDX42	1.26438	1	1.26438
HDLBP	1.25067	1	1.25067
CDK2	1.25067	1	1.25067
DHCR7	1.23237	1	1.23237
ZNF703	1.22323	1	1.22323
CTTN	1.19122	1	1.19122
RPL9	1.15921	1	1.15921
MARK2	1.15464	1	1.15464
POM121C	1.1272	1	1.1272
RPS7	1.09976	1	1.09976
FUBP3	1.09976	1	1.09976
NONO	1.09519	1	1.09519
GCN1L1	1.07233	1	1.07233
CLTC	1.05403	1	1.05403
MTA1	1.05403	1	1.05403
COL1A2	1.04946	1	1.04946
RBM14	1.04946	1	1.04946
COPA	1.04946	1	1.04946
ATP5J2	1.01288	1	1.01288
PRPF8	1.01288	1	1.01288
HNRNPA2B1	0.990015	1	0.990015
UBAP2L	0.976297	1	0.976297
POLR2A	0.958006	1	0.958006
KRT13	0.939714	1	0.939714
DSP	0.939714	1	0.939714
NUP214	0.930569	1	0.930569
ZNF326	0.930569	1	0.930569
ZNF503	0.925996	1	0.925996
RPL4	0.925996	1	0.925996
CDK4	0.91685	1	0.91685
TAGLN2	0.889413	1	0.889413
POGZ	0.88484	1	0.88484
KRT1	0.880268	1	0.880268
SMARCB1	0.866549	1	0.866549
CPSF7	0.866549	1	0.866549
