name	logFC	P.Value	t
COL1A2	32.3061	1	32.3061
COL1A1	20.3941	1	20.3941
MAP4	18.0641	1	18.0641
INTS7	4.27177	1	4.27177
FLG2	2.85739	1	2.85739
XRCC5	2.84921	1	2.84921
DDX42	2.83286	1	2.83286
MAGED1	2.55489	1	2.55489
TARS	2.44861	1	2.44861
ZYX	2.40773	1	2.40773
DDX19A	2.39138	1	2.39138
MCCC1	2.39138	1	2.39138
ADRM1	2.37503	1	2.37503
SMC4	2.32597	1	2.32597
ACACA	2.21969	1	2.21969
EIF4A3	2.12976	1	2.12976
RPS17L	2.0807	1	2.0807
ZNF703	2.05617	1	2.05617
TCOF1	2.03165	1	2.03165
ZNF598	2.0153	1	2.0153
MAPK1	1.96624	1	1.96624
FUBP1	1.94172	1	1.94172
SLC25A11	1.90084	1	1.90084
PFAS	1.86814	1	1.86814
SCAMP4	1.86814	1	1.86814
HRNR	1.85178	1	1.85178
MCCC2	1.83543	1	1.83543
PRRC2C	1.79455	1	1.79455
SF3A1	1.77003	1	1.77003
NENF	1.77003	1	1.77003
HDLBP	1.76185	1	1.76185
PDIA3	1.75368	1	1.75368
RPS14	1.73732	1	1.73732
API5	1.68827	1	1.68827
STRIP1	1.6801	1	1.6801
CSDE1	1.60651	1	1.60651
PC	1.59016	1	1.59016
CHTF8	1.55746	1	1.55746
SERBP1	1.52476	1	1.52476
GATAD2A	1.48388	1	1.48388
PRKAR2A	1.46753	1	1.46753
EIF4A2	1.443	1	1.443
UTP18	1.42665	1	1.42665
PLOD1	1.41847	1	1.41847
ACTR1A	1.4103	1	1.4103
MTA1	1.4103	1	1.4103
NEFM	1.38577	1	1.38577
SLC25A3	1.36942	1	1.36942
TIAL1	1.36942	1	1.36942
ZNF503	1.33672	1	1.33672
ASCC3	1.30402	1	1.30402
PCCB	1.29584	1	1.29584
PABPC1	1.26314	1	1.26314
ACACB	1.24679	1	1.24679
EIF3M	1.23861	1	1.23861
MCM7	1.23043	1	1.23043
ERLIN2	1.18956	1	1.18956
EIF4G1	1.16503	1	1.16503
HSPA1A	1.15685	1	1.15685
RBBP6	1.14868	1	1.14868
AUTS2	1.13233	1	1.13233
ATP5J2	1.13233	1	1.13233
LMNA	1.09962	1	1.09962
EPB41L2	1.09145	1	1.09145
TAB1	1.09145	1	1.09145
PABPC4	1.09145	1	1.09145
SSRP1	1.0751	1	1.0751
RPL6	1.06692	1	1.06692
RPL12	1.05875	1	1.05875
TOMM22	1.05057	1	1.05057
CTTN	1.03422	1	1.03422
CDK4	0.993341	1	0.993341
HCFC1	0.985165	1	0.985165
FAM168A	0.97699	1	0.97699
CLTC	0.97699	1	0.97699
RCN1	0.97699	1	0.97699
CCDC71	0.968814	1	0.968814
PATL1	0.952463	1	0.952463
TAGLN2	0.944287	1	0.944287
H2AFY2	0.944287	1	0.944287
SON	0.936111	1	0.936111
NKRF	0.936111	1	0.936111
ADO	0.911584	1	0.911584
RPS11	0.911584	1	0.911584
RUVBL2	0.903409	1	0.903409
