name	logFC	P.Value	t
MYH10	16.0659	1	16.0659
ACTB	14.0262	1	14.0262
ACTG1	13.8636	1	13.8636
MYH9	9.08531	1	9.08531
ACTR1A	6.56613	1	6.56613
RPL29	6.15168	1	6.15168
NEFM	5.13588	1	5.13588
ADRM1	3.64062	1	3.64062
MAGED1	3.02302	1	3.02302
MAPK1	2.893	1	2.893
INTS7	2.72234	1	2.72234
CHTF8	2.68171	1	2.68171
EIF3M	2.60045	1	2.60045
DDX19A	2.56794	1	2.56794
CUL5	2.32415	1	2.32415
MAGED2	2.21851	1	2.21851
LUC7L2	2.09661	1	2.09661
SERBP1	2.0641	1	2.0641
DYNC1H1	2.04785	1	2.04785
ACTN4	2.02347	1	2.02347
PGK1	1.9097	1	1.9097
RPL15	1.90158	1	1.90158
LMNA	1.86094	1	1.86094
TCOF1	1.82031	1	1.82031
CCT4	1.81219	1	1.81219
RBBP6	1.7228	1	1.7228
PFAS	1.70654	1	1.70654
EIF4A3	1.69842	1	1.69842
NCLN	1.64966	1	1.64966
DDX50	1.60903	1	1.60903
PICALM	1.58465	1	1.58465
UTP18	1.58465	1	1.58465
SMC4	1.54401	1	1.54401
NOP2	1.54401	1	1.54401
CCT5	1.48713	1	1.48713
SRSF6	1.45462	1	1.45462
RPL5	1.34086	1	1.34086
HIST3H3	1.34086	1	1.34086
RPL18	1.33273	1	1.33273
SLC25A13	1.33273	1	1.33273
EPB41L2	1.2921	1	1.2921
ARGLU1	1.28397	1	1.28397
PRRC2C	1.27584	1	1.27584
RPL27A	1.25959	1	1.25959
DDX42	1.19458	1	1.19458
VIM	1.19458	1	1.19458
RPS14	1.17833	1	1.17833
TARS	1.14582	1	1.14582
ERLIN2	1.12957	1	1.12957
DDX21	1.12144	1	1.12144
API5	1.07268	1	1.07268
TBL3	1.06456	1	1.06456
SCAMP4	1.0483	1	1.0483
CDK2	1.04018	1	1.04018
NUP153	1.03205	1	1.03205
TAGLN2	1.02393	1	1.02393
RPL4	0.999547	1	0.999547
ATP1A1	0.99142	1	0.99142
POM121C	0.983294	1	0.983294
CFL1	0.983294	1	0.983294
DDX39B	0.983294	1	0.983294
ZNF598	0.975167	1	0.975167
RBM39	0.975167	1	0.975167
AUTS2	0.950788	1	0.950788
SEC16A	0.934535	1	0.934535
HADHB	0.934535	1	0.934535
ASCC3	0.918283	1	0.918283
RBM34	0.910156	1	0.910156
VARS	0.90203	1	0.90203
RPL9	0.893903	1	0.893903
CCT7	0.877651	1	0.877651
ENO1	0.861398	1	0.861398
RPL13	0.861398	1	0.861398
SRRM2	0.861398	1	0.861398
RPS17L	0.853271	1	0.853271
CTTN	0.845145	1	0.845145
PCBP1	0.845145	1	0.845145
TOMM22	0.837019	1	0.837019
SMARCB1	0.837019	1	0.837019
NONO	0.812639	1	0.812639
NUP98	0.812639	1	0.812639
GFM1	0.804513	1	0.804513
TCP1	0.796387	1	0.796387
MCM7	0.78826	1	0.78826
IGF2BP3	0.78826	1	0.78826
HSPA1A	0.780134	1	0.780134
ZCCHC17	0.780134	1	0.780134
TTN	0.763881	1	0.763881
ACAT1	0.763881	1	0.763881
ATP5J2	0.755755	1	0.755755
PLOD1	0.755755	1	0.755755
HDLBP	0.747628	1	0.747628
ADPRHL2	0.739502	1	0.739502
SF3A1	0.731376	1	0.731376
RPS7	0.731376	1	0.731376
GNA13	0.731376	1	0.731376
RPL6	0.723249	1	0.723249
KPNA2	0.723249	1	0.723249
CLNS1A	0.723249	1	0.723249
DHX8	0.715123	1	0.715123
SFPQ	0.706996	1	0.706996
MTHFD1	0.69887	1	0.69887
ADO	0.674491	1	0.674491
CHD4	0.674491	1	0.674491
NOP56	0.666364	1	0.666364
EIF4A2	0.666364	1	0.666364
SRSF11	0.666364	1	0.666364
COL1A1	0.658238	1	0.658238
DNAJB1	0.641985	1	0.641985
HSPA8	0.625732	1	0.625732
ZNF326	0.625732	1	0.625732
RPS11	0.617606	1	0.617606
SON	0.593227	1	0.593227
HEATR1	0.5851	1	0.5851
TUBGCP2	0.5851	1	0.5851
SSRP1	0.576974	1	0.576974
EIF3E	0.576974	1	0.576974
CCS	0.568848	1	0.568848
ASNS	0.560721	1	0.560721
SMC2	0.544468	1	0.544468
PCBP2	0.536342	1	0.536342
SLC25A3	0.528216	1	0.528216
RPL31	0.503836	1	0.503836
ADD1	0.503836	1	0.503836
MTA1	0.49571	1	0.49571
GANAB	0.49571	1	0.49571
PLS3	0.479457	1	0.479457
POLDIP3	0.471331	1	0.471331
SCAMP3	0.471331	1	0.471331
PPAN	0.471331	1	0.471331
DHX9	0.471331	1	0.471331
RBM14	0.463204	1	0.463204
PDIA3	0.455078	1	0.455078
HUWE1	0.455078	1	0.455078
SRM	0.438825	1	0.438825
GAPDH	0.438825	1	0.438825
KPNB1	0.430699	1	0.430699
GCN1L1	0.422573	1	0.422573
CLTC	0.422573	1	0.422573
FYTTD1	0.422573	1	0.422573
ARID1A	0.422573	1	0.422573
ADNP	0.40632	1	0.40632
RPL34	0.40632	1	0.40632
RPS4X	0.381941	1	0.381941
RPL7A	0.373814	1	0.373814
CAPZA1	0.373814	1	0.373814
FARSB	0.365688	1	0.365688
RCC1	0.357561	1	0.357561
DHX15	0.357561	1	0.357561
SMC3	0.349435	1	0.349435
HP1BP3	0.349435	1	0.349435
SLC25A5	0.349435	1	0.349435
HNRNPL	0.349435	1	0.349435
SRPRB	0.333182	1	0.333182
NCKAP1	0.333182	1	0.333182
NUP133	0.333182	1	0.333182
GATAD2B	0.325056	1	0.325056
PRPF8	0.325056	1	0.325056
SRSF7	0.325056	1	0.325056
NUMA1	0.316929	1	0.316929
HCFC1	0.308803	1	0.308803
ACOT7	0.308803	1	0.308803
PYCR2	0.308803	1	0.308803
CYFIP2	0.300677	1	0.300677
HNRNPC	0.300677	1	0.300677
DHCR7	0.300677	1	0.300677
PATL1	0.300677	1	0.300677
ELAVL1	0.300677	1	0.300677
RBM15	0.300677	1	0.300677
AARS2	0.276297	1	0.276297
NUP214	0.268171	1	0.268171
SF3B1	0.268171	1	0.268171
RPS3A	0.268171	1	0.268171
H2AFY2	0.260045	1	0.260045
IGF2BP1	0.260045	1	0.260045
POGZ	0.251918	1	0.251918
SUPT16H	0.243792	1	0.243792
DDX3X	0.243792	1	0.243792
TOP1	0.243792	1	0.243792
MMTAG2	0.227539	1	0.227539
SEC24C	0.219413	1	0.219413
ATP5L	0.219413	1	0.219413
NNT	0.211286	1	0.211286
NUP93	0.211286	1	0.211286
STRIP1	0.20316	1	0.20316
RANBP2	0.20316	1	0.20316
ABCF2	0.20316	1	0.20316
DDX6	0.195033	1	0.195033
HSP90AB1	0.195033	1	0.195033
ZNF703	0.186907	1	0.186907
PMVK	0.186907	1	0.186907
H2AFY	0.186907	1	0.186907
DRG1	0.186907	1	0.186907
DDX17	0.178781	1	0.178781
CSNK1A1	0.178781	1	0.178781
MATR3	0.170654	1	0.170654
AIFM1	0.170654	1	0.170654
MARK2	0.162528	1	0.162528
FARSA	0.162528	1	0.162528
FAM168A	0.154401	1	0.154401
TAB1	0.146275	1	0.146275
NKRF	0.146275	1	0.146275
RPL23	0.121896	1	0.121896
U2AF2	0.121896	1	0.121896
FAU	0.121896	1	0.121896
RCN1	0.11377	1	0.11377
PSMC1	0.11377	1	0.11377
HSPA5	0.0975167	1	0.0975167
IGF2BP2	0.0975167	1	0.0975167
HSD17B4	0.0975167	1	0.0975167
MSH2	0.0893903	1	0.0893903
HNRNPH1	0.0650112	1	0.0650112
EEF1A1P5	0.0650112	1	0.0650112
RPS5	0.0487584	1	0.0487584
PARP1	0.040632	1	0.040632
SFXN1	0.0325056	1	0.0325056
SNX2	0.0243792	1	0.0243792
PHB2	0.0162528	1	0.0162528
MARS	0.0162528	1	0.0162528
HIST1H1C	0.0162528	1	0.0162528
ALDH18A1	0.0162528	1	0.0162528
CTPS1	0.0162528	1	0.0162528
RPL35A	0.0162528	1	0.0162528
TMCO1	0.00812639	1	0.00812639
HSPD1	0	1	0
PKLR	0	1	0
RPL14	0	1	0
HIST1H2BN	-0.00812639	1	-0.00812639
RPS16	-0.00812639	1	-0.00812639
TRIM28	-0.0162528	1	-0.0162528
COPA	-0.0243792	1	-0.0243792
ZFR	-0.0325056	1	-0.0325056
HIST1H1E	-0.0487584	1	-0.0487584
UQCRC2	-0.0487584	1	-0.0487584
LARS2	-0.0487584	1	-0.0487584
AP2B1	-0.0650112	1	-0.0650112
PDHA1	-0.0731376	1	-0.0731376
DDX5	-0.0731376	1	-0.0731376
WDR46	-0.0812639	1	-0.0812639
VDAC1	-0.0812639	1	-0.0812639
MCM2	-0.0975167	1	-0.0975167
LARS	-0.105643	1	-0.105643
ATP5A1	-0.105643	1	-0.105643
DDOST	-0.105643	1	-0.105643
DAZAP1	-0.11377	1	-0.11377
PSMD14	-0.11377	1	-0.11377
VDAC2	-0.130022	1	-0.130022
CCT3	-0.138149	1	-0.138149
PRDX1	-0.146275	1	-0.146275
PC	-0.154401	1	-0.154401
ATP5O	-0.154401	1	-0.154401
XRCC5	-0.162528	1	-0.162528
FUBP1	-0.162528	1	-0.162528
SNRNP200	-0.162528	1	-0.162528
EIF4G1	-0.170654	1	-0.170654
HIST1H1D	-0.170654	1	-0.170654
SND1	-0.178781	1	-0.178781
RTCB	-0.178781	1	-0.178781
RUVBL2	-0.178781	1	-0.178781
RAB5A	-0.178781	1	-0.178781
RSL1D1	-0.186907	1	-0.186907
AFG3L2	-0.195033	1	-0.195033
PRPF38B	-0.20316	1	-0.20316
FUBP3	-0.211286	1	-0.211286
CCAR2	-0.211286	1	-0.211286
GATAD2A	-0.235665	1	-0.235665
RDH11	-0.235665	1	-0.235665
RPN1	-0.235665	1	-0.235665
RAN	-0.243792	1	-0.243792
IQGAP1	-0.268171	1	-0.268171
RPL3	-0.276297	1	-0.276297
CSDE1	-0.29255	1	-0.29255
H1F0	-0.29255	1	-0.29255
TUBB	-0.29255	1	-0.29255
TUBB2B	-0.29255	1	-0.29255
PKM	-0.300677	1	-0.300677
SYNCRIP	-0.308803	1	-0.308803
UBAP2L	-0.325056	1	-0.325056
FLNB	-0.333182	1	-0.333182
PYGL	-0.357561	1	-0.357561
RPS8	-0.365688	1	-0.365688
KHDRBS1	-0.390067	1	-0.390067
RPL7	-0.390067	1	-0.390067
GNL3	-0.398193	1	-0.398193
PTBP1	-0.40632	1	-0.40632
DNM2	-0.414446	1	-0.414446
POLR2A	-0.414446	1	-0.414446
ALDH1B1	-0.414446	1	-0.414446
GIGYF2	-0.414446	1	-0.414446
GMPPA	-0.422573	1	-0.422573
CCAR1	-0.422573	1	-0.422573
RPS2	-0.422573	1	-0.422573
UBC	-0.455078	1	-0.455078
EPRS	-0.463204	1	-0.463204
PDHB	-0.463204	1	-0.463204
TUBB4A	-0.463204	1	-0.463204
PHGDH	-0.479457	1	-0.479457
FASN	-0.479457	1	-0.479457
CDK4	-0.487584	1	-0.487584
KRT18	-0.487584	1	-0.487584
RPL38	-0.503836	1	-0.503836
SLC25A6	-0.503836	1	-0.503836
HNRNPM	-0.503836	1	-0.503836
MRPS11	-0.511963	1	-0.511963
SERPINH1	-0.511963	1	-0.511963
