name	logFC	P.Value	t
MAPK1	3.07322	1	3.07322
MAGED2	2.91727	1	2.91727
DHCR7	2.88803	1	2.88803
MAGED1	2.35974	1	2.35974
MATR3	2.30321	1	2.30321
PFAS	2.28567	1	2.28567
INTS7	2.27982	1	2.27982
CENPV	2.23303	1	2.23303
HRNR	2.20574	1	2.20574
AUTS2	2.11412	1	2.11412
CFL1	2.08293	1	2.08293
CHTF8	2.03419	1	2.03419
FYTTD1	2.00495	1	2.00495
POM121C	1.98546	1	1.98546
UBAP2L	1.93477	1	1.93477
EIF4A3	1.91528	1	1.91528
HDLBP	1.87824	1	1.87824
LMNA	1.87239	1	1.87239
PCCB	1.8412	1	1.8412
FAM168A	1.83341	1	1.83341
CTTN	1.77297	1	1.77297
CCT4	1.76128	1	1.76128
GCN1L1	1.73399	1	1.73399
EIF3M	1.63262	1	1.63262
EPB41L2	1.63262	1	1.63262
ZNF598	1.59558	1	1.59558
NEFM	1.58973	1	1.58973
RPS7	1.56634	1	1.56634
XRCC5	1.56439	1	1.56439
COL1A2	1.53515	1	1.53515
EIF4G1	1.47862	1	1.47862
MAP4	1.46302	1	1.46302
GATAD2A	1.46302	1	1.46302
ZYX	1.45717	1	1.45717
DAZAP1	1.42403	1	1.42403
GATAD2B	1.40064	1	1.40064
KPNA2	1.40064	1	1.40064
ASCC3	1.39869	1	1.39869
PRRC2C	1.39479	1	1.39479
TOMM22	1.39479	1	1.39479
SSRP1	1.39089	1	1.39089
FUBP3	1.3831	1	1.3831
POLDIP3	1.38115	1	1.38115
HP1BP3	1.36555	1	1.36555
HNRNPA3	1.3597	1	1.3597
ADO	1.34996	1	1.34996
ZNF703	1.34801	1	1.34801
SMC4	1.34021	1	1.34021
CPSF7	1.33631	1	1.33631
ATP5J2	1.33046	1	1.33046
XRN2	1.31292	1	1.31292
SERBP1	1.29927	1	1.29927
KARS	1.28952	1	1.28952
RPS23	1.27783	1	1.27783
DNAJB1	1.27588	1	1.27588
ACTR1A	1.26613	1	1.26613
RPS3A	1.26418	1	1.26418
CDK2	1.23689	1	1.23689
NCKAP1	1.23104	1	1.23104
ADNP	1.194	1	1.194
CUL5	1.19206	1	1.19206
ERLIN2	1.16476	1	1.16476
KHDRBS1	1.15112	1	1.15112
SRPRB	1.14917	1	1.14917
SLC25A11	1.14722	1	1.14722
DDX42	1.14332	1	1.14332
RPS11	1.14137	1	1.14137
YLPM1	1.14137	1	1.14137
SF3B1	1.13942	1	1.13942
ZNF503	1.13162	1	1.13162
RPL31	1.10823	1	1.10823
TAGLN2	1.10628	1	1.10628
DDX6	1.10238	1	1.10238
PDHA1	1.09653	1	1.09653
STRIP1	1.08874	1	1.08874
PGK1	1.08289	1	1.08289
DDX19A	1.07314	1	1.07314
CCS	1.0634	1	1.0634
RBBP6	1.05755	1	1.05755
HCFC1	1.0556	1	1.0556
HSPA5	1.0517	1	1.0517
NUP214	1.0478	1	1.0478
PTBP1	1.04195	1	1.04195
NONO	1.03026	1	1.03026
TARS	1.02831	1	1.02831
HNRNPF	1.02441	1	1.02441
NSDHL	1.00881	1	1.00881
SEC16A	0.993217	1	0.993217
RRP1B	0.989318	1	0.989318
NCAPH	0.981521	1	0.981521
PLOD1	0.958128	1	0.958128
HNRNPA2B1	0.958128	1	0.958128
AFG3L2	0.946431	1	0.946431
SRM	0.940583	1	0.940583
TRIM28	0.932786	1	0.932786
COL1A1	0.930836	1	0.930836
SYNCRIP	0.924988	1	0.924988
ENO1	0.901595	1	0.901595
API5	0.899646	1	0.899646
NNT	0.88795	1	0.88795
CHD4	0.884051	1	0.884051
POGZ	0.874304	1	0.874304
MTA1	0.866506	1	0.866506
NKRF	0.850911	1	0.850911
NUP98	0.831417	1	0.831417
RPS5	0.827518	1	0.827518
SF3A1	0.813873	1	0.813873
SON	0.804126	1	0.804126
RPL29	0.800227	1	0.800227
NOP2	0.780733	1	0.780733
NUMA1	0.774885	1	0.774885
ZFR	0.759289	1	0.759289
PCBP1	0.75734	1	0.75734
HUWE1	0.753441	1	0.753441
RPL5	0.751492	1	0.751492
SCAMP3	0.712504	1	0.712504
SRSF6	0.704706	1	0.704706
EIF3E	0.696909	1	0.696909
INTS3	0.689111	1	0.689111
NUP153	0.687162	1	0.687162
PRPF8	0.679364	1	0.679364
PCBP2	0.677415	1	0.677415
HNRNPA1	0.673516	1	0.673516
RBM14	0.665718	1	0.665718
MTHFD1	0.648174	1	0.648174
TCOF1	0.646225	1	0.646225
MARK2	0.644275	1	0.644275
TAB1	0.636478	1	0.636478
RPL9	0.624781	1	0.624781
SMARCB1	0.615034	1	0.615034
HNRNPC	0.615034	1	0.615034
ARID1A	0.609186	1	0.609186
TTN	0.583844	1	0.583844
KHSRP	0.581894	1	0.581894
HNRNPH1	0.581894	1	0.581894
PHGDH	0.568249	1	0.568249
SAFB2	0.568249	1	0.568249
RPL6	0.550704	1	0.550704
RBM39	0.550704	1	0.550704
CLINT1	0.542907	1	0.542907
NCLN	0.529261	1	0.529261
VIM	0.523413	1	0.523413
FARSB	0.501969	1	0.501969
PICALM	0.50002	1	0.50002
TAF4	0.470779	1	0.470779
XRCC6	0.470779	1	0.470779
MCCC1	0.46883	1	0.46883
RPS12	0.46688	1	0.46688
YEATS2	0.464931	1	0.464931
RSL1D1	0.459083	1	0.459083
PDCD6IP	0.451285	1	0.451285
SNRPD3	0.449336	1	0.449336
SCAMP1	0.447386	1	0.447386
CLNS1A	0.43569	1	0.43569
GMPPA	0.429842	1	0.429842
PPAN	0.423993	1	0.423993
CLTC	0.410348	1	0.410348
CYFIP2	0.4045	1	0.4045
PDIA3	0.388904	1	0.388904
GAPDH	0.379157	1	0.379157
RPL38	0.37136	1	0.37136
KPNB1	0.36941	1	0.36941
MYH9	0.361613	1	0.361613
